Pathway,Symptoms,Sites,Result,UK_Value_2016,US_Value_2020
Trad,A,U,All_Neg,42.1199,68.35428519
Trad,A,UE,All_Neg,59.0699,95.86159489
Trad,A,URO,All_Neg,76.0199,123.3689046
Trad,A,U,Any_Pos,48.0155,77.92196041
Trad,A,UE,Any_Pos,64.9655,105.4292701
Trad,A,URO,Any_Pos,81.9155,132.9365798
Trad,S,U,All_Neg,0,0
Trad,S,R,All_Neg,0,0
Trad,S,O,All_Neg,0,0
Trad,S,UE,All_Neg,0,0
Trad,S,RO,All_Neg,0,0
Trad,S,URO,All_Neg,0,0
Trad,S,U,Any_Pos,48.0155,77.92196041
Trad,S,R,Any_Pos,46.8855,76.08813977
Trad,S,O,Any_Pos,0,0
Trad,S,UE,Any_Pos,64.9655,105.4292701
Trad,S,RO,Any_Pos,0,0
Trad,S,URO,Any_Pos,0,0
Tx,NA,NA,NA,25.905,42.03993262
Tx_PN,NA,NA,NA,0,0
Xpr,A,URO,All_Neg,57.7399,93.70320422
Xpr,A,URO,Any_Pos,57.7555,93.72852068
Xpr_PN,A,URO,All_Neg,0,0
Xpr_PN,A,URO,Any_Pos,0,0
